idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
"1818395","2023-08-11 19:00:00","Round 1","Burnley","0","Manchester City","3","https://r2.thesportsdb.com/images/media/event/poster/y3ayig1689062630.jpg","https://r2.thesportsdb.com/images/media/event/thumb/kr1h871691738726.jpg"
"1818396","2023-08-12 11:30:00","Round 1","Arsenal","2","Nottingham Forest","1","https://r2.thesportsdb.com/images/media/event/poster/x5hb671689062630.jpg","https://r2.thesportsdb.com/images/media/event/thumb/w1kus71689062464.jpg"
"1818397","2023-08-12 14:00:00","Round 1","Bournemouth","1","West Ham","1","https://r2.thesportsdb.com/images/media/event/poster/6sgdxo1689062631.jpg","https://r2.thesportsdb.com/images/media/event/thumb/m0rdmh1689062464.jpg"
"1818398","2023-08-12 14:00:00","Round 1","Brighton","4","Luton","1","https://r2.thesportsdb.com/images/media/event/poster/e54wf21689062631.jpg","https://r2.thesportsdb.com/images/media/event/thumb/hy4td21689062465.jpg"
"1818399","2023-08-12 14:00:00","Round 1","Everton","0","Fulham","1","https://r2.thesportsdb.com/images/media/event/poster/jjciar1689062631.jpg","https://r2.thesportsdb.com/images/media/event/thumb/923sp71689062465.jpg"
"1818400","2023-08-12 14:00:00","Round 1","Sheffield United","0","Crystal Palace","1","https://r2.thesportsdb.com/images/media/event/poster/v2puj01689062632.jpg","https://r2.thesportsdb.com/images/media/event/thumb/d03awf1689062466.jpg"
"1818401","2023-08-12 16:30:00","Round 1","Newcastle","5","Aston Villa","1","https://r2.thesportsdb.com/images/media/event/poster/egzt041689062632.jpg","https://r2.thesportsdb.com/images/media/event/thumb/v3ln5r1689062466.jpg"
"1818402","2023-08-13 13:00:00","Round 1","Brentford","2","Tottenham","2","https://r2.thesportsdb.com/images/media/event/poster/ehs1el1689062633.jpg","https://r2.thesportsdb.com/images/media/event/thumb/l4z7g71689062467.jpg"
"1818403","2023-08-13 15:30:00","Round 1","Chelsea","1","Liverpool","1","https://r2.thesportsdb.com/images/media/event/poster/vl9s6v1689062633.jpg","https://r2.thesportsdb.com/images/media/event/thumb/pqtrgs1689062467.jpg"
"1818404","2023-08-14 19:00:00","Round 1","Manchester United","1","Wolves","0","https://r2.thesportsdb.com/images/media/event/poster/38duwo1689062633.jpg","https://r2.thesportsdb.com/images/media/event/thumb/9lqw021689062468.jpg"
"1818411","2023-08-18 18:45:00","Round 2","Nottingham Forest","2","Sheffield United","1","https://r2.thesportsdb.com/images/media/event/poster/3n4bzy1689062637.jpg","https://r2.thesportsdb.com/images/media/event/thumb/fnnguh1689062471.jpg"
"1818407","2023-08-19 14:00:00","Round 2","Fulham","0","Brentford","3","https://r2.thesportsdb.com/images/media/event/poster/9ss6251689062635.jpg","https://r2.thesportsdb.com/images/media/event/thumb/emasmc1689062469.jpg"
"1818408","2023-08-19 14:00:00","Round 2","Liverpool","3","Bournemouth","1","https://r2.thesportsdb.com/images/media/event/poster/ye4qfu1689062635.jpg","https://r2.thesportsdb.com/images/media/event/thumb/cx8dqy1689062470.jpg"
"1818414","2023-08-19 14:00:00","Round 2","Wolves","1","Brighton","4","https://r2.thesportsdb.com/images/media/event/poster/ya1z271689062638.jpg","https://r2.thesportsdb.com/images/media/event/thumb/eggs0i1689062472.jpg"
"1818412","2023-08-19 16:30:00","Round 2","Tottenham","2","Manchester United","0","https://r2.thesportsdb.com/images/media/event/poster/uk0qj71689062637.jpg","https://r2.thesportsdb.com/images/media/event/thumb/xych8l1689062471.jpg"
"1818410","2023-08-19 19:00:00","Round 2","Manchester City","1","Newcastle","0","https://r2.thesportsdb.com/images/media/event/poster/cprn9z1689062636.jpg","https://r2.thesportsdb.com/images/media/event/thumb/p0kukn1689062471.jpg"
"1818405","2023-08-20 13:00:00","Round 2","Aston Villa","4","Everton","0","https://r2.thesportsdb.com/images/media/event/poster/fwuzt21689062634.jpg","https://r2.thesportsdb.com/images/media/event/thumb/05nbgc1689062469.jpg"
"1818413","2023-08-20 15:30:00","Round 2","West Ham","3","Chelsea","1","https://r2.thesportsdb.com/images/media/event/poster/5fjivl1689062637.jpg","https://r2.thesportsdb.com/images/media/event/thumb/4b7zoc1689062472.jpg"
"1818406","2023-08-21 19:00:00","Round 2","Crystal Palace","0","Arsenal","1","https://r2.thesportsdb.com/images/media/event/poster/u011ul1689062634.jpg","https://r2.thesportsdb.com/images/media/event/thumb/zs7jil1689062469.jpg"
"1818420","2023-08-25 19:00:00","Round 3","Chelsea","3","Luton","0","https://r2.thesportsdb.com/images/media/event/poster/t40rcc1689062640.jpg","https://r2.thesportsdb.com/images/media/event/thumb/nydigd1689062475.jpg"
"1818415","2023-08-26 11:30:00","Round 3","Bournemouth","0","Tottenham","2","https://r2.thesportsdb.com/images/media/event/poster/s5pvrl1689062638.jpg","https://r2.thesportsdb.com/images/media/event/thumb/1gpy2f1689062473.jpg"
"1818416","2023-08-26 14:00:00","Round 3","Arsenal","2","Fulham","2","https://r2.thesportsdb.com/images/media/event/poster/oeu9vt1689062638.jpg","https://r2.thesportsdb.com/images/media/event/thumb/yee8wc1689062473.jpg"
"1818417","2023-08-26 14:00:00","Round 3","Brentford","1","Crystal Palace","1","https://r2.thesportsdb.com/images/media/event/poster/fn5wdo1689062639.jpg","https://r2.thesportsdb.com/images/media/event/thumb/s4le1v1689062474.jpg"
