idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
"1570706","2022-08-05 20:00:00","Round 1","Crystal Palace","0","Arsenal","2","https://r2.thesportsdb.com/images/media/event/poster/85wt4b1659895715.jpg","https://r2.thesportsdb.com/images/media/event/thumb/718r1o1659642256.jpg"
"1570707","2022-08-06 12:30:00","Round 1","Fulham","2","Liverpool","2","https://r2.thesportsdb.com/images/media/event/poster/47guil1659895715.jpg","https://r2.thesportsdb.com/images/media/event/thumb/44oqk71659642256.jpg"
"1570708","2022-08-06 15:00:00","Round 1","Bournemouth","2","Aston Villa","0","https://r2.thesportsdb.com/images/media/event/poster/iiv92l1659895716.jpg","https://r2.thesportsdb.com/images/media/event/thumb/v8gyqd1659642257.jpg"
"1570709","2022-08-06 15:00:00","Round 1","Leeds","2","Wolves","1","https://r2.thesportsdb.com/images/media/event/poster/r13drb1659895716.jpg","https://r2.thesportsdb.com/images/media/event/thumb/qyvrpg1659642257.jpg"
"1570712","2022-08-06 15:00:00","Round 1","Tottenham","4","Southampton","1","https://r2.thesportsdb.com/images/media/event/poster/s7pwv61659895717.jpg","https://r2.thesportsdb.com/images/media/event/thumb/m7qc531659642258.jpg"
"1571087","2022-08-06 15:00:00","Round 1","Newcastle","2","Nottingham Forest","0","https://r2.thesportsdb.com/images/media/event/poster/kjv7hf1659895882.jpg","https://r2.thesportsdb.com/images/media/event/thumb/g0sfcv1659642433.jpg"
"1570713","2022-08-06 17:30:00","Round 1","Everton","0","Chelsea","1","https://r2.thesportsdb.com/images/media/event/poster/hxa99x1659895718.jpg","https://r2.thesportsdb.com/images/media/event/thumb/xqptxu1659642259.jpg"
"1570710","2022-08-07 14:00:00","Round 1","Leicester","2","Brentford","2","https://r2.thesportsdb.com/images/media/event/poster/0mv45k1659895717.jpg","https://r2.thesportsdb.com/images/media/event/thumb/0yrv0e1659642258.jpg"
"1570714","2022-08-07 14:00:00","Round 1","Manchester United","1","Brighton","2","https://r2.thesportsdb.com/images/media/event/poster/qqx4t61659895718.jpg","https://r2.thesportsdb.com/images/media/event/thumb/dmwhlg1659642259.jpg"
"1570715","2022-08-07 16:30:00","Round 1","West Ham","0","Manchester City","2","https://r2.thesportsdb.com/images/media/event/poster/1ndc861659895719.jpg","https://r2.thesportsdb.com/images/media/event/thumb/gi51ar1659642260.jpg"
"1570717","2022-08-13 12:30:00","Round 2","Aston Villa","2","Everton","1","https://r2.thesportsdb.com/images/media/event/poster/uf2gqs1659895719.jpg","https://r2.thesportsdb.com/images/media/event/thumb/jpt9ix1659642261.jpg"
"1570716","2022-08-13 15:00:00","Round 2","Arsenal","4","Leicester","2","https://r2.thesportsdb.com/images/media/event/poster/p7fgb91659895719.jpg","https://r2.thesportsdb.com/images/media/event/thumb/iczvxd1659642260.jpg"
"1570719","2022-08-13 15:00:00","Round 2","Brighton","0","Newcastle","0","https://r2.thesportsdb.com/images/media/event/poster/xvmko21659895721.jpg","https://r2.thesportsdb.com/images/media/event/thumb/hp8bn11659642262.jpg"
"1570722","2022-08-13 15:00:00","Round 2","Manchester City","4","Bournemouth","0","https://r2.thesportsdb.com/images/media/event/poster/7v52gb1659895722.jpg","https://r2.thesportsdb.com/images/media/event/thumb/hymcbd1659642263.jpg"
"1570724","2022-08-13 15:00:00","Round 2","Southampton","2","Leeds","2","https://r2.thesportsdb.com/images/media/event/poster/u2wz7d1659895723.jpg","https://r2.thesportsdb.com/images/media/event/thumb/wbbizp1659642264.jpg"
"1570725","2022-08-13 15:00:00","Round 2","Wolves","0","Fulham","0","https://r2.thesportsdb.com/images/media/event/poster/iq5sog1659895723.jpg","https://r2.thesportsdb.com/images/media/event/thumb/vgptnv1659642265.jpg"
"1570718","2022-08-13 17:30:00","Round 2","Brentford","4","Manchester United","0","https://r2.thesportsdb.com/images/media/event/poster/ddq9c71659895720.jpg","https://r2.thesportsdb.com/images/media/event/thumb/4k0kqf1659642261.jpg"
"1571088","2022-08-14 14:00:00","Round 2","Nottingham Forest","1","West Ham","0","https://r2.thesportsdb.com/images/media/event/poster/oe3pxe1659895883.jpg","https://r2.thesportsdb.com/images/media/event/thumb/an36b51659642433.jpg"
"1570720","2022-08-14 16:30:00","Round 2","Chelsea","2","Tottenham","2","https://r2.thesportsdb.com/images/media/event/poster/ji6djy1659895721.jpg","https://r2.thesportsdb.com/images/media/event/thumb/byotfe1659642262.jpg"
"1570721","2022-08-15 20:00:00","Round 2","Liverpool","1","Crystal Palace","1","https://r2.thesportsdb.com/images/media/event/poster/6lw1ih1659895722.jpg","https://r2.thesportsdb.com/images/media/event/thumb/86tv6e1659642263.jpg"
"1570734","2022-08-20 12:30:00","Round 3","Tottenham","1","Wolves","0","https://r2.thesportsdb.com/images/media/event/poster/p0w1ck1659895728.jpg","https://r2.thesportsdb.com/images/media/event/thumb/ql5t931659642269.jpg"
"1570727","2022-08-20 15:00:00","Round 3","Crystal Palace","3","Aston Villa","1","https://r2.thesportsdb.com/images/media/event/poster/5ynd9t1659895724.jpg","https://r2.thesportsdb.com/images/media/event/thumb/uxqeth1659642265.jpg"
"1570729","2022-08-20 15:00:00","Round 3","Fulham","3","Brentford","2","https://r2.thesportsdb.com/images/media/event/poster/ndnhv41659895725.jpg","https://r2.thesportsdb.com/images/media/event/thumb/uxhkqr1659642266.jpg"
"1570731","2022-08-20 15:00:00","Round 3","Leicester","1","Southampton","2","https://r2.thesportsdb.com/images/media/event/poster/gu8kwv1659895726.jpg","https://r2.thesportsdb.com/images/media/event/thumb/baya3c1659642267.jpg"
